Moeda;Data_Referencia;VL_COTACAO;Data_cotacao
USD;2010-01-27;2,737189293;01/01/2010
USD;2010-01-27;7,81613189;04/01/2010
USD;2010-01-27;7,0659374;05/01/2010
USD;2010-01-27;2,169120967;06/01/2010
USD;2010-01-27;6,364269972;07/01/2010
USD;2010-01-27;2,077223837;08/01/2010
USD;2010-01-27;3,605659604;11/01/2010
USD;2010-01-27;6,330960214;12/01/2010
USD;2010-01-27;7,285734653;13/01/2010
USD;2010-01-27;2,841882527;14/01/2010
USD;2010-01-27;6,474525332;15/01/2010
USD;2010-01-27;4,985837638;18/01/2010
USD;2010-01-27;5,286678553;19/01/2010
USD;2010-01-27;7,692322314;20/01/2010
USD;2010-01-27;4,113391519;21/01/2010
USD;2010-01-27;5,248682439;22/01/2010
USD;2010-01-27;5,709814072;25/01/2010
USD;2010-01-27;4,537905991;26/01/2010
USD;2010-01-27;6,981669784;27/01/2010
USD;2010-01-27;4,178759754;28/01/2010
USD;2010-01-27;2,0648458;29/01/2010
USD;2010-01-27;2,787019789;01/02/2010
USD;2010-01-27;3,041701436;02/02/2010
USD;2010-01-27;3,326545656;03/02/2010
USD;2010-01-27;2,387845516;04/02/2010
USD;2010-01-27;3,268948376;05/02/2010
USD;2010-01-27;5,993132472;08/02/2010
USD;2010-01-27;4,030602157;09/02/2010
USD;2010-01-27;1,350627184;10/02/2010
USD;2010-01-27;4,905749857;11/02/2010
USD;2010-01-27;7,257288575;12/02/2010
USD;2010-01-27;4,464452207;15/02/2010
USD;2010-01-27;3,120121956;16/02/2010
USD;2010-01-27;6,134130776;17/02/2010
USD;2010-01-27;6,711550117;18/02/2010
USD;2010-01-27;5,433454692;19/02/2010
USD;2010-01-27;3,967753172;22/02/2010
USD;2010-01-27;1,077321112;23/02/2010
USD;2010-01-27;3,173727155;24/02/2010
USD;2010-01-27;3,921679437;25/02/2010
USD;2010-01-27;4,628811359;26/02/2010
USD;2010-01-27;5,466949284;01/03/2010
USD;2010-01-27;7,636434436;02/03/2010
USD;2010-01-27;2,388782203;03/03/2010
USD;2010-01-27;3,411829233;04/03/2010
USD;2010-01-27;7,314917147;05/03/2010
USD;2010-01-27;2,251466393;08/03/2010
USD;2010-01-27;5,81687969;09/03/2010
USD;2010-01-27;5,057956696;10/03/2010
USD;2010-01-27;3,335274994;11/03/2010
USD;2010-01-27;6,064172149;12/03/2010
USD;2010-01-27;6,507424533;15/03/2010
USD;2010-01-27;3,350335836;16/03/2010
USD;2010-01-27;2,116096556;17/03/2010
USD;2010-01-27;2,49783051;18/03/2010
USD;2010-01-27;5,628080308;19/03/2010
USD;2010-01-27;7,473475933;22/03/2010
USD;2010-01-27;1,041354001;23/03/2010
USD;2010-01-27;1,588024974;24/03/2010
USD;2010-01-27;1,509596527;25/03/2010
USD;2010-01-27;7,12262845;26/03/2010
USD;2010-01-27;6,962792933;29/03/2010
USD;2010-01-27;5,967018723;30/03/2010
USD;2010-01-27;7,692683637;31/03/2010
USD;2010-01-27;2,363162041;01/04/2010
USD;2010-01-27;2,621807396;02/04/2010
USD;2010-01-27;6,59812963;05/04/2010
USD;2010-01-27;2,724888027;06/04/2010
USD;2010-01-27;7,239937544;07/04/2010
USD;2010-01-27;5,821314871;08/04/2010
USD;2010-01-27;1,260105252;09/04/2010
USD;2010-01-27;7,70746702;12/04/2010
USD;2010-01-27;6,136682987;13/04/2010
USD;2010-01-27;4,347631276;14/04/2010
USD;2010-01-27;7,781497836;15/04/2010
USD;2010-01-27;4,592263877;16/04/2010
USD;2010-01-27;2,885368586;19/04/2010
USD;2010-01-27;4,642345965;20/04/2010
USD;2010-01-27;2,025039315;21/04/2010
USD;2010-01-27;3,228582799;22/04/2010
USD;2010-01-27;1,625581741;23/04/2010
USD;2010-01-27;5,224196732;26/04/2010
USD;2010-01-27;4,622016311;27/04/2010
USD;2010-01-27;5,160063922;28/04/2010
USD;2010-01-27;3,413902044;29/04/2010
USD;2010-01-27;6,860944808;30/04/2010
USD;2010-01-27;1,456645131;03/05/2010
USD;2010-01-27;4,171558321;04/05/2010
USD;2010-01-27;4,583276272;05/05/2010
USD;2010-01-27;3,491249859;06/05/2010
USD;2010-01-27;5,900446773;07/05/2010
USD;2010-01-27;2,586003006;10/05/2010
USD;2010-01-27;3,852393389;11/05/2010
USD;2010-01-27;2,896544993;12/05/2010
USD;2010-01-27;3,796621919;13/05/2010
USD;2010-01-27;1,311295927;14/05/2010
USD;2010-01-27;4,185059547;17/05/2010
USD;2010-01-27;7,122911751;18/05/2010
USD;2010-01-27;5,194425941;19/05/2010
USD;2010-01-27;5,63717097;20/05/2010
USD;2010-01-27;2,399573088;21/05/2010
USD;2010-01-27;1,652955115;24/05/2010
USD;2010-01-27;6,833543897;25/05/2010
USD;2010-01-27;4,782072961;26/05/2010
USD;2010-01-27;1,528099537;27/05/2010
USD;2010-01-27;2,327678502;28/05/2010
USD;2010-01-27;5,378465533;31/05/2010
USD;2010-01-27;2,190032661;01/06/2010
USD;2010-01-27;3,92604661;02/06/2010
USD;2010-01-27;6,018358767;03/06/2010
USD;2010-01-27;5,402860284;04/06/2010
USD;2010-01-27;5,577541769;07/06/2010
USD;2010-01-27;6,131439209;08/06/2010
USD;2010-01-27;6,048421204;09/06/2010
USD;2010-01-27;1,12395227;10/06/2010
USD;2010-01-27;4,730427921;11/06/2010
USD;2010-01-27;2,474294424;14/06/2010
USD;2010-01-27;2,365314543;15/06/2010
USD;2010-01-27;1,886895299;16/06/2010
USD;2010-01-27;7,050729692;17/06/2010
USD;2010-01-27;4,435996532;18/06/2010
USD;2010-01-27;6,462385952;21/06/2010
USD;2010-01-27;3,399147868;22/06/2010
USD;2010-01-27;4,853571594;23/06/2010
USD;2010-01-27;5,758671999;24/06/2010
USD;2010-01-27;6,050756037;25/06/2010
USD;2010-01-27;2,714848161;28/06/2010
USD;2010-01-27;7,414039075;29/06/2010
USD;2010-01-27;5,304564476;30/06/2010
USD;2010-01-27;1,481193841;01/07/2010
USD;2010-01-27;7,969189048;02/07/2010
USD;2010-01-27;4,764053524;05/07/2010
USD;2010-01-27;3,665409803;06/07/2010
USD;2010-01-27;1,915991843;07/07/2010
USD;2010-01-27;7,862793088;08/07/2010
USD;2010-01-27;3,239247262;09/07/2010
USD;2010-01-27;1,521811008;12/07/2010
USD;2010-01-27;2,250840962;13/07/2010
USD;2010-01-27;5,896087527;14/07/2010
USD;2010-01-27;6,775838554;15/07/2010
USD;2010-01-27;6,752613306;16/07/2010
USD;2010-01-27;3,786705554;19/07/2010
USD;2010-01-27;7,353679299;20/07/2010
USD;2010-01-27;6,957506597;21/07/2010
USD;2010-01-27;1,294279099;22/07/2010
USD;2010-01-27;1,651698411;23/07/2010
USD;2010-01-27;1,038730025;26/07/2010
USD;2010-01-27;2,812266529;27/07/2010
USD;2010-01-27;7,750262976;28/07/2010
USD;2010-01-27;1,972955763;29/07/2010
USD;2010-01-27;5,757331014;30/07/2010
USD;2010-01-27;1,359344423;02/08/2010
USD;2010-01-27;3,750386715;03/08/2010
USD;2010-01-27;5,79851228;04/08/2010
USD;2010-01-27;6,552878261;05/08/2010
USD;2010-01-27;5,906052291;06/08/2010
USD;2010-01-27;6,060214281;09/08/2010
USD;2010-01-27;1,769176066;10/08/2010
USD;2010-01-27;4,69044745;11/08/2010
USD;2010-01-27;6,094663084;12/08/2010
USD;2010-01-27;2,440426826;13/08/2010
USD;2010-01-27;2,540403664;16/08/2010
USD;2010-01-27;6,391168952;17/08/2010
USD;2010-01-27;4,699285686;18/08/2010
USD;2010-01-27;4,256197691;19/08/2010
USD;2010-01-27;5,954175055;20/08/2010
USD;2010-01-27;6,316602826;23/08/2010
USD;2010-01-27;4,172739923;24/08/2010
USD;2010-01-27;2,836567402;25/08/2010
USD;2010-01-27;6,960868657;26/08/2010
USD;2010-01-27;7,803113818;27/08/2010
USD;2010-01-27;1,943431556;30/08/2010
USD;2010-01-27;4,583818674;31/08/2010
USD;2010-01-27;4,291136324;01/09/2010
USD;2010-01-27;2,846246362;02/09/2010
USD;2010-01-27;1,462227285;03/09/2010
USD;2010-01-27;4,83285141;06/09/2010
USD;2010-01-27;1,877778351;07/09/2010
USD;2010-01-27;2,835099578;08/09/2010
USD;2010-01-27;3,999329746;09/09/2010
USD;2010-01-27;5,460557699;10/09/2010
USD;2010-01-27;5,027618468;13/09/2010
USD;2010-01-27;1,036702275;14/09/2010
USD;2010-01-27;2,191152513;15/09/2010
USD;2010-01-27;6,245196819;16/09/2010
USD;2010-01-27;4,343378842;17/09/2010
USD;2010-01-27;6,83038795;20/09/2010
USD;2010-01-27;3,337195098;21/09/2010
USD;2010-01-27;4,975770235;22/09/2010
USD;2010-01-27;3,395555079;23/09/2010
USD;2010-01-27;4,692169785;24/09/2010
USD;2010-01-27;5,446917951;27/09/2010
USD;2010-01-27;6,311396599;28/09/2010
USD;2010-01-27;6,144291222;29/09/2010
USD;2010-01-27;5,929115653;30/09/2010
USD;2010-01-27;3,036617458;01/10/2010
USD;2010-01-27;4,39068675;04/10/2010
USD;2010-01-27;6,111254752;05/10/2010
USD;2010-01-27;4,163723111;06/10/2010
USD;2010-01-27;1,676300943;07/10/2010
USD;2010-01-27;2,191118717;08/10/2010
USD;2010-01-27;5,301511586;11/10/2010
USD;2010-01-27;2,568294406;12/10/2010
USD;2010-01-27;6,286561668;13/10/2010
USD;2010-01-27;4,638412714;14/10/2010
USD;2010-01-27;6,87540108;15/10/2010
USD;2010-01-27;7,849311471;18/10/2010
USD;2010-01-27;4,185453832;19/10/2010
USD;2010-01-27;6,465906143;20/10/2010
USD;2010-01-27;2,570411026;21/10/2010
USD;2010-01-27;4,981810927;22/10/2010
USD;2010-01-27;5,885367572;25/10/2010
USD;2010-01-27;2,823928595;26/10/2010
USD;2010-01-27;3,873052657;27/10/2010
USD;2010-01-27;3,693759084;28/10/2010
USD;2010-01-27;3,639903963;29/10/2010
USD;2010-01-27;1,639176846;01/11/2010
USD;2010-01-27;4,940735638;02/11/2010
USD;2010-01-27;2,700426936;03/11/2010
USD;2010-01-27;1,740750015;04/11/2010
USD;2010-01-27;2,724089861;05/11/2010
USD;2010-01-27;3,273643076;08/11/2010
USD;2010-01-27;4,688765168;09/11/2010
USD;2010-01-27;6,564553678;10/11/2010
USD;2010-01-27;6,636223793;11/11/2010
USD;2010-01-27;1,136606514;12/11/2010
USD;2010-01-27;5,051779151;15/11/2010
USD;2010-01-27;4,369798839;16/11/2010
USD;2010-01-27;4,287626982;17/11/2010
USD;2010-01-27;1,730980933;18/11/2010
USD;2010-01-27;3,372903943;19/11/2010
USD;2010-01-27;3,843680322;22/11/2010
USD;2010-01-27;3,304214954;23/11/2010
USD;2010-01-27;7,116519749;24/11/2010
USD;2010-01-27;2,660379291;25/11/2010
USD;2010-01-27;3,398978889;26/11/2010
USD;2010-01-27;7,135145426;29/11/2010
USD;2010-01-27;3,883249819;30/11/2010
USD;2010-01-27;3,331624627;01/12/2010
USD;2010-01-27;2,737189293;01/01/2010
USD;2010-01-27;7,81613189;04/01/2010
USD;2010-01-27;7,0659374;05/01/2010
USD;2010-01-27;2,169120967;06/01/2010
USD;2010-01-27;6,364269972;07/01/2010
USD;2010-01-27;2,077223837;08/01/2010
USD;2010-01-27;3,605659604;11/01/2010
USD;2010-01-27;6,330960214;12/01/2010
USD;2010-01-27;7,285734653;13/01/2010
USD;2010-01-27;2,841882527;14/01/2010
USD;2010-01-27;6,474525332;15/01/2010
USD;2010-01-27;4,985837638;18/01/2010
USD;2010-01-27;5,286678553;19/01/2010
USD;2010-01-27;7,692322314;20/01/2010
USD;2010-01-27;4,113391519;21/01/2010
USD;2010-01-27;5,248682439;22/01/2010
USD;2010-01-27;5,709814072;25/01/2010
USD;2010-01-27;4,537905991;26/01/2010
USD;2010-01-27;6,981669784;27/01/2010
USD;2010-01-27;4,178759754;28/01/2010
USD;2010-01-27;2,0648458;29/01/2010
USD;2010-01-27;2,787019789;01/02/2010
USD;2010-01-27;3,041701436;02/02/2010
USD;2010-01-27;3,326545656;03/02/2010
USD;2010-01-27;2,387845516;04/02/2010
USD;2010-01-27;3,268948376;05/02/2010
USD;2010-01-27;5,993132472;08/02/2010
USD;2010-01-27;4,030602157;09/02/2010
USD;2010-01-27;1,350627184;10/02/2010
USD;2010-01-27;4,905749857;11/02/2010
USD;2010-01-27;7,257288575;12/02/2010
USD;2010-01-27;4,464452207;15/02/2010
USD;2010-01-27;3,120121956;16/02/2010
USD;2010-01-27;6,134130776;17/02/2010
USD;2010-01-27;6,711550117;18/02/2010
USD;2010-01-27;5,433454692;19/02/2010
USD;2010-01-27;3,967753172;22/02/2010
USD;2010-01-27;1,077321112;23/02/2010
USD;2010-01-27;3,173727155;24/02/2010
USD;2010-01-27;3,921679437;25/02/2010
USD;2010-01-27;4,628811359;26/02/2010
USD;2010-01-27;5,466949284;01/03/2010
USD;2010-01-27;7,636434436;02/03/2010
USD;2010-01-27;2,388782203;03/03/2010
USD;2010-01-27;3,411829233;04/03/2010
USD;2010-01-27;7,314917147;05/03/2010
USD;2010-01-27;2,251466393;08/03/2010
USD;2010-01-27;5,81687969;09/03/2010
USD;2010-01-27;5,057956696;10/03/2010
USD;2010-01-27;3,335274994;11/03/2010
USD;2010-01-27;6,064172149;12/03/2010
USD;2010-01-27;6,507424533;15/03/2010
USD;2010-01-27;3,350335836;16/03/2010
USD;2010-01-27;2,116096556;17/03/2010
USD;2010-01-27;2,49783051;18/03/2010
USD;2010-01-27;5,628080308;19/03/2010
USD;2010-01-27;7,473475933;22/03/2010
USD;2010-01-27;1,041354001;23/03/2010
USD;2010-01-27;1,588024974;24/03/2010
USD;2010-01-27;1,509596527;25/03/2010
USD;2010-01-27;7,12262845;26/03/2010
USD;2010-01-27;6,962792933;29/03/2010
USD;2010-01-27;5,967018723;30/03/2010
USD;2010-01-27;7,692683637;31/03/2010
USD;2010-01-27;2,363162041;01/04/2010
USD;2010-01-27;2,621807396;02/04/2010
USD;2010-01-27;6,59812963;05/04/2010
USD;2010-01-27;2,724888027;06/04/2010
USD;2010-01-27;7,239937544;07/04/2010
USD;2010-01-27;5,821314871;08/04/2010
USD;2010-01-27;1,260105252;09/04/2010
USD;2010-01-27;7,70746702;12/04/2010
USD;2010-01-27;6,136682987;13/04/2010
USD;2010-01-27;4,347631276;14/04/2010
USD;2010-01-27;7,781497836;15/04/2010
USD;2010-01-27;4,592263877;16/04/2010
USD;2010-01-27;2,885368586;19/04/2010
USD;2010-01-27;4,642345965;20/04/2010
USD;2010-01-27;2,025039315;21/04/2010
USD;2010-01-27;3,228582799;22/04/2010
USD;2010-01-27;1,625581741;23/04/2010
USD;2010-01-27;5,224196732;26/04/2010
USD;2010-01-27;4,622016311;27/04/2010
USD;2010-01-27;5,160063922;28/04/2010
USD;2010-01-27;3,413902044;29/04/2010
USD;2010-01-27;6,860944808;30/04/2010
USD;2010-01-27;1,456645131;03/05/2010
USD;2010-01-27;4,171558321;04/05/2010
USD;2010-01-27;4,583276272;05/05/2010
USD;2010-01-27;3,491249859;06/05/2010
USD;2010-01-27;5,900446773;07/05/2010
USD;2010-01-27;2,586003006;10/05/2010
USD;2010-01-27;3,852393389;11/05/2010
USD;2010-01-27;2,896544993;12/05/2010
USD;2010-01-27;3,796621919;13/05/2010
USD;2010-01-27;1,311295927;14/05/2010
USD;2010-01-27;4,185059547;17/05/2010
USD;2010-01-27;7,122911751;18/05/2010
USD;2010-01-27;5,194425941;19/05/2010
USD;2010-01-27;5,63717097;20/05/2010
USD;2010-01-27;2,399573088;21/05/2010
USD;2010-01-27;1,652955115;24/05/2010
USD;2010-01-27;6,833543897;25/05/2010
USD;2010-01-27;4,782072961;26/05/2010
USD;2010-01-27;1,528099537;27/05/2010
USD;2010-01-27;2,327678502;28/05/2010
USD;2010-01-27;5,378465533;31/05/2010
USD;2010-01-27;2,190032661;01/06/2010
USD;2010-01-27;3,92604661;02/06/2010
USD;2010-01-27;6,018358767;03/06/2010
USD;2010-01-27;5,402860284;04/06/2010
USD;2010-01-27;5,577541769;07/06/2010
USD;2010-01-27;6,131439209;08/06/2010
USD;2010-01-27;6,048421204;09/06/2010
USD;2010-01-27;1,12395227;10/06/2010
USD;2010-01-27;4,730427921;11/06/2010
USD;2010-01-27;2,474294424;14/06/2010
USD;2010-01-27;2,365314543;15/06/2010
USD;2010-01-27;1,886895299;16/06/2010
USD;2010-01-27;7,050729692;17/06/2010
USD;2010-01-27;4,435996532;18/06/2010
USD;2010-01-27;6,462385952;21/06/2010
USD;2010-01-27;3,399147868;22/06/2010
USD;2010-01-27;4,853571594;23/06/2010
USD;2010-01-27;5,758671999;24/06/2010
USD;2010-01-27;6,050756037;25/06/2010
USD;2010-01-27;2,714848161;28/06/2010
USD;2010-01-27;7,414039075;29/06/2010
USD;2010-01-27;5,304564476;30/06/2010
USD;2010-01-27;1,481193841;01/07/2010
USD;2010-01-27;7,969189048;02/07/2010
USD;2010-01-27;4,764053524;05/07/2010
USD;2010-01-27;3,665409803;06/07/2010
USD;2010-01-27;1,915991843;07/07/2010
USD;2010-01-27;7,862793088;08/07/2010
USD;2010-01-27;3,239247262;09/07/2010
USD;2010-01-27;1,521811008;12/07/2010
USD;2010-01-27;2,250840962;13/07/2010
USD;2010-01-27;5,896087527;14/07/2010
USD;2010-01-27;6,775838554;15/07/2010
USD;2010-01-27;6,752613306;16/07/2010
USD;2010-01-27;3,786705554;19/07/2010
USD;2010-01-27;7,353679299;20/07/2010
USD;2010-01-27;6,957506597;21/07/2010
USD;2010-01-27;1,294279099;22/07/2010
USD;2010-01-27;1,651698411;23/07/2010
USD;2010-01-27;1,038730025;26/07/2010
USD;2010-01-27;2,812266529;27/07/2010
USD;2010-01-27;7,750262976;28/07/2010
USD;2010-01-27;1,972955763;29/07/2010
USD;2010-01-27;5,757331014;30/07/2010
USD;2010-01-27;1,359344423;02/08/2010
USD;2010-01-27;3,750386715;03/08/2010
USD;2010-01-27;5,79851228;04/08/2010
USD;2010-01-27;6,552878261;05/08/2010
USD;2010-01-27;5,906052291;06/08/2010
USD;2010-01-27;6,060214281;09/08/2010
USD;2010-01-27;1,769176066;10/08/2010
USD;2010-01-27;4,69044745;11/08/2010
USD;2010-01-27;6,094663084;12/08/2010
USD;2010-01-27;2,440426826;13/08/2010
USD;2010-01-27;2,540403664;16/08/2010
USD;2010-01-27;6,391168952;17/08/2010
USD;2010-01-27;4,699285686;18/08/2010
USD;2010-01-27;4,256197691;19/08/2010
USD;2010-01-27;5,954175055;20/08/2010
USD;2010-01-27;6,316602826;23/08/2010
USD;2010-01-27;4,172739923;24/08/2010
USD;2010-01-27;2,836567402;25/08/2010
USD;2010-01-27;6,960868657;26/08/2010
USD;2010-01-27;7,803113818;27/08/2010
USD;2010-01-27;1,943431556;30/08/2010
USD;2010-01-27;4,583818674;31/08/2010
USD;2010-01-27;4,291136324;01/09/2010
USD;2010-01-27;2,846246362;02/09/2010
USD;2010-01-27;1,462227285;03/09/2010
USD;2010-01-27;4,83285141;06/09/2010
USD;2010-01-27;1,877778351;07/09/2010
USD;2010-01-27;2,835099578;08/09/2010
USD;2010-01-27;3,999329746;09/09/2010
USD;2010-01-27;5,460557699;10/09/2010
USD;2010-01-27;5,027618468;13/09/2010
USD;2010-01-27;1,036702275;14/09/2010
USD;2010-01-27;2,191152513;15/09/2010
USD;2010-01-27;6,245196819;16/09/2010
USD;2010-01-27;4,343378842;17/09/2010
USD;2010-01-27;6,83038795;20/09/2010
USD;2010-01-27;3,337195098;21/09/2010
USD;2010-01-27;4,975770235;22/09/2010
USD;2010-01-27;3,395555079;23/09/2010
USD;2010-01-27;4,692169785;24/09/2010
USD;2010-01-27;5,446917951;27/09/2010
USD;2010-01-27;6,311396599;28/09/2010
USD;2010-01-27;6,144291222;29/09/2010
USD;2010-01-27;5,929115653;30/09/2010
USD;2010-01-27;3,036617458;01/10/2010
USD;2010-01-27;4,39068675;04/10/2010
USD;2010-01-27;6,111254752;05/10/2010
USD;2010-01-27;4,163723111;06/10/2010
USD;2010-01-27;1,676300943;07/10/2010
USD;2010-01-27;2,191118717;08/10/2010
USD;2010-01-27;5,301511586;11/10/2010
USD;2010-01-27;2,568294406;12/10/2010
USD;2010-01-27;6,286561668;13/10/2010
USD;2010-01-27;4,638412714;14/10/2010
USD;2010-01-27;6,87540108;15/10/2010
USD;2010-01-27;7,849311471;18/10/2010
USD;2010-01-27;4,185453832;19/10/2010
USD;2010-01-27;6,465906143;20/10/2010
USD;2010-01-27;2,570411026;21/10/2010
USD;2010-01-27;4,981810927;22/10/2010
USD;2010-01-27;5,885367572;25/10/2010
USD;2010-01-27;2,823928595;26/10/2010
USD;2010-01-27;3,873052657;27/10/2010
USD;2010-01-27;3,693759084;28/10/2010
USD;2010-01-27;3,639903963;29/10/2010
USD;2010-01-27;1,639176846;01/11/2010
USD;2010-01-27;4,940735638;02/11/2010
USD;2010-01-27;2,700426936;03/11/2010
USD;2010-01-27;1,740750015;04/11/2010
USD;2010-01-27;2,724089861;05/11/2010
USD;2010-01-27;3,273643076;08/11/2010
USD;2010-01-27;4,688765168;09/11/2010
USD;2010-01-27;6,564553678;10/11/2010
USD;2010-01-27;6,636223793;11/11/2010
USD;2010-01-27;1,136606514;12/11/2010
USD;2010-01-27;5,051779151;15/11/2010
USD;2010-01-27;4,369798839;16/11/2010
USD;2010-01-27;4,287626982;17/11/2010
USD;2010-01-27;1,730980933;18/11/2010
USD;2010-01-27;3,372903943;19/11/2010
USD;2010-01-27;3,843680322;22/11/2010
USD;2010-01-27;3,304214954;23/11/2010
USD;2010-01-27;7,116519749;24/11/2010
USD;2010-01-27;2,660379291;25/11/2010
USD;2010-01-27;3,398978889;26/11/2010
USD;2010-01-27;7,135145426;29/11/2010
USD;2010-01-27;3,883249819;30/11/2010
USD;2010-01-27;3,331624627;01/12/2010
USD;2010-01-27;2,737189293;01/01/2010
USD;2010-01-27;7,81613189;04/01/2010
USD;2010-01-27;7,0659374;05/01/2010
USD;2010-01-27;2,169120967;06/01/2010
USD;2010-01-27;6,364269972;07/01/2010
USD;2010-01-27;2,077223837;08/01/2010
USD;2010-01-27;3,605659604;11/01/2010
USD;2010-01-27;6,330960214;12/01/2010
USD;2010-01-27;7,285734653;13/01/2010
USD;2010-01-27;2,841882527;14/01/2010
USD;2010-01-27;6,474525332;15/01/2010
USD;2010-01-27;4,985837638;18/01/2010
USD;2010-01-27;5,286678553;19/01/2010
USD;2010-01-27;7,692322314;20/01/2010
USD;2010-01-27;4,113391519;21/01/2010
USD;2010-01-27;5,248682439;22/01/2010
USD;2010-01-27;5,709814072;25/01/2010
USD;2010-01-27;4,537905991;26/01/2010
USD;2010-01-27;6,981669784;27/01/2010
USD;2010-01-27;4,178759754;28/01/2010
USD;2010-01-27;2,0648458;29/01/2010
USD;2010-01-27;2,787019789;01/02/2010
USD;2010-01-27;3,041701436;02/02/2010
USD;2010-01-27;3,326545656;03/02/2010
USD;2010-01-27;2,387845516;04/02/2010
USD;2010-01-27;3,268948376;05/02/2010
USD;2010-01-27;5,993132472;08/02/2010
USD;2010-01-27;4,030602157;09/02/2010
USD;2010-01-27;1,350627184;10/02/2010
USD;2010-01-27;4,905749857;11/02/2010
USD;2010-01-27;7,257288575;12/02/2010
USD;2010-01-27;4,464452207;15/02/2010
USD;2010-01-27;3,120121956;16/02/2010
USD;2010-01-27;6,134130776;17/02/2010
USD;2010-01-27;6,711550117;18/02/2010
USD;2010-01-27;5,433454692;19/02/2010
USD;2010-01-27;3,967753172;22/02/2010
USD;2010-01-27;1,077321112;23/02/2010
USD;2010-01-27;3,173727155;24/02/2010
USD;2010-01-27;3,921679437;25/02/2010
USD;2010-01-27;4,628811359;26/02/2010
USD;2010-01-27;5,466949284;01/03/2010
USD;2010-01-27;7,636434436;02/03/2010
USD;2010-01-27;2,388782203;03/03/2010
USD;2010-01-27;3,411829233;04/03/2010
USD;2010-01-27;7,314917147;05/03/2010
USD;2010-01-27;2,251466393;08/03/2010
USD;2010-01-27;5,81687969;09/03/2010
USD;2010-01-27;5,057956696;10/03/2010
USD;2010-01-27;3,335274994;11/03/2010
USD;2010-01-27;6,064172149;12/03/2010
USD;2010-01-27;6,507424533;15/03/2010
USD;2010-01-27;3,350335836;16/03/2010
USD;2010-01-27;2,116096556;17/03/2010
USD;2010-01-27;2,49783051;18/03/2010
USD;2010-01-27;5,628080308;19/03/2010
USD;2010-01-27;7,473475933;22/03/2010
USD;2010-01-27;1,041354001;23/03/2010
USD;2010-01-27;1,588024974;24/03/2010
